id,fromAccountNo,ToAccountNo,date,amount,type,description,userId
103,BUS3391179068,SAV8877444318,2025-05-28T20:25:26Z,3046.93,Credit,Internet bill,6
104,SAV8877444318,SAV9252940807,2024-07-01T01:03:14Z,1758.36,Debit,Loan repayment,6
105,CUR1252860896,SAV8877444318,2023-10-21T20:37:08Z,3167.69,Credit,Salary,6
106,SAV8877444318,CUR9520940324,2023-07-07T19:18:51Z,791.26,Debit,Deposit,6
107,CUR3653594796,SAV8877444318,2024-10-26T20:39:55Z,3371.47,Credit,ATM withdrawal,6
108,SAV8877444318,BUS4944899549,2025-06-26T15:26:16Z,1081.77,Debit,Cheque deposit,6
109,SAV8877444318,SAV7676965974,2023-08-22T12:34:02Z,2967.71,Debit,Cheque deposit,6
110,SAV8877444318,CUR1033015788,2024-09-23T01:39:12Z,1510.59,Debit,Subscription renewal,6
111,SAV8877444318,CUR2926780541,2023-10-09T09:18:11Z,3736.34,Debit,Loan repayment,6
112,SAV7049001493,SAV8877444318,2023-09-22T13:50:34Z,4167.6,Credit,Freelance project,6
113,SAV8877444318,SAV5375461598,2024-12-26T02:37:27Z,4606.21,Debit,Stock sale proceeds,6
114,SAV8877444318,CUR1338258951,2024-10-03T20:57:45Z,2091.38,Debit,Electricity bill,6
115,CUR1667779376,SAV8877444318,2025-04-09T00:45:33Z,2303.18,Credit,Medical bill,6
116,SAV8877444318,CUR7900268326,2025-01-11T03:12:31Z,2946.41,Debit,Cheque deposit,6
117,CUR1722124509,SAV8877444318,2023-06-11T14:24:33Z,2554.86,Credit,Electricity bill,6
118,SAV7418301077,SAV8877444318,2025-11-10T07:03:35Z,4791.33,Credit,Phone bill,6
119,SAV8877444318,CUR7635473142,2023-10-30T08:36:08Z,3013.98,Debit,Consulting fee,6
120,SAV7977267911,SAV8877444318,2023-06-04T06:26:58Z,4321.91,Credit,Phone bill,6
121,SAV4131575764,CUR1338258951,2024-10-09T05:29:46Z,1517.59,Debit,ATM withdrawal,7
122,CUR7805745017,SAV4131575764,2023-04-26T12:48:49Z,192.85,Credit,Refund,7
123,CUR7472806994,SAV4131575764,2024-08-10T02:47:37Z,2316.24,Credit,Payroll,7
124,CUR8110054933,SAV4131575764,2023-03-26T16:22:27Z,1611.03,Credit,Merchant payment,7
125,CUR9520940324,SAV4131575764,2025-10-23T05:29:33Z,4912.02,Credit,Restaurant,7
126,SAV4131575764,CUR7805745017,2025-10-30T23:31:29Z,4954.98,Debit,Cheque deposit,7
127,SAV4131575764,SAV1420514789,2023-11-22T13:14:56Z,3873.45,Debit,Internet bill,7
128,SAV4131356954,SAV4131575764,2023-04-18T22:58:11Z,2792.03,Credit,Insurance premium,7
129,BUS4750707607,SAV4131575764,2024-08-04T09:10:29Z,1670.14,Credit,Tax payment,7
130,SAV4131575764,BUS2683446724,2023-10-17T12:44:11Z,2977.23,Debit,Restaurant,7
131,SAV4131575764,CUR3260842187,2024-09-26T20:20:59Z,3231.89,Debit,Transfer to savings,7
132,SAV4131575764,CUR9841118422,2025-11-07T13:10:25Z,1711.95,Debit,Consulting fee,7
133,SAV4131575764,SAV6320115677,2025-09-22T06:59:26Z,1482.48,Debit,Freelance project,7
134,BUS9752058817,SAV4131575764,2023-07-27T18:29:03Z,1687.14,Credit,Consulting fee,7
135,SAV4131575764,CUR3030106617,2023-09-26T21:44:42Z,3856.63,Debit,Freelance project,7
136,SAV4131575764,SAV7418301077,2023-12-06T15:56:06Z,1191.46,Debit,Interest credit,7
137,SAV4131575764,SAV7980611182,2024-08-06T16:20:41Z,4520.35,Debit,Subscription renewal,7
138,SAV4698408854,SAV4131575764,2025-01-23T20:46:06Z,3891.73,Credit,Cheque deposit,7
139,CUR9044482007,SAV4131575764,2025-05-07T05:54:01Z,265.64,Credit,Merchant payment,7
140,BUS4655730355,SAV4131575764,2025-01-30T20:11:24Z,1428.89,Credit,Consulting fee,7
141,CUR1240251661,CUR7900268326,2023-11-25T09:55:55Z,463.11,Debit,Online purchase,8
142,SAV1939915527,CUR1240251661,2025-07-12T12:43:40Z,2512.53,Credit,Online purchase,8
143,CUR1240251661,SAV4131356954,2025-03-01T02:58:16Z,4196.69,Debit,Phone bill,8
144,CUR1240251661,SAV7980611182,2024-11-17T05:19:02Z,3481.88,Debit,Water bill,8
145,CUR2099184899,CUR1240251661,2025-08-18T16:19:59Z,4175.64,Credit,Payroll,8
146,SAV6520103410,CUR1240251661,2025-05-16T04:02:53Z,243.51,Credit,Transfer to savings,8
147,CUR1240251661,BUS3302333490,2025-07-25T02:17:12Z,3161.61,Debit,Tax payment,8
148,CUR1240251661,CUR2188332531,2024-05-10T05:13:38Z,1206.62,Debit,Transfer to savings,8
149,SAV8429141456,CUR1240251661,2024-01-19T03:07:01Z,2722.69,Credit,Freelance project,8
150,CUR1240251661,CUR8025152555,2025-11-05T20:10:33Z,4905.29,Debit,ATM withdrawal,8
151,SAV7418301077,CUR1240251661,2023-02-03T13:00:05Z,3287.24,Credit,Electricity bill,8
152,CUR1240251661,CUR9462806178,2024-11-11T04:51:26Z,879.57,Debit,Consulting fee,8
153,CUR9347720574,CUR1240251661,2025-08-09T17:25:22Z,189.73,Credit,Subscription renewal,8
154,SAV4131575764,CUR1240251661,2023-03-31T07:15:44Z,2579.34,Credit,Bonus payment,8
155,CUR1240251661,SAV4353689019,2025-08-27T09:13:22Z,4329.66,Debit,Rental income,8
156,SAV1939915527,CUR1240251661,2024-07-13T04:31:55Z,3717.82,Credit,Insurance premium,8
157,CUR1240251661,SAV8429141456,2024-11-25T06:48:06Z,1337.27,Debit,Restaurant,8
158,CUR1240251661,CUR7637761996,2025-05-19T02:52:25Z,1609.45,Debit,Restaurant,8
159,CUR1240251661,SAV7201539282,2024-11-02T10:45:50Z,2238.41,Debit,Gym membership,8
160,CUR7380780055,CUR1240251661,2024-12-23T22:23:09Z,379.83,Credit,Phone bill,8
161,CUR5092199300,CUR8110054933,2025-04-11T13:13:39Z,718.18,Credit,Service charge,9
162,CUR8110054933,CUR9462806178,2025-06-16T01:16:01Z,1834.81,Debit,Insurance premium,9
163,CUR8110054933,CUR5972484792,2023-03-08T22:01:50Z,1863.21,Debit,Consulting fee,9
164,CUR8110054933,CUR7192423780,2023-06-07T20:53:45Z,3249.56,Debit,Online purchase,9
165,SAV3181106786,CUR8110054933,2023-08-21T00:56:36Z,4568.14,Credit,Electricity bill,9
166,CUR1667779376,CUR8110054933,2024-06-20T09:28:36Z,1431.46,Credit,Merchant payment,9
167,CUR8110054933,CUR7635473142,2024-02-14T04:27:54Z,4493.9,Debit,Interest credit,9
168,BUS7623575561,CUR8110054933,2023-06-29T11:38:09Z,4457.2,Credit,Stock sale proceeds,9
169,CUR8110054933,CUR3553440342,2023-11-19T23:13:04Z,611.21,Debit,Subscription renewal,9
170,SAV7049001493,CUR8110054933,2023-10-12T08:37:09Z,2863.53,Credit,Interest credit,9
171,SAV1939915527,CUR8110054933,2023-09-23T22:16:49Z,4997.98,Credit,Gym membership,9
172,CUR8110054933,SAV7517938612,2025-09-07T19:08:23Z,373.38,Debit,Rental income,9
173,CUR8110054933,CUR1547374338,2023-06-01T16:22:59Z,4390.41,Debit,Consulting fee,9
174,CUR8110054933,CUR4570796341,2024-01-08T04:41:52Z,2592.92,Debit,Deposit,9
175,CUR8110054933,SAV5633668009,2023-12-04T05:53:49Z,985.53,Debit,Payroll,9
176,CUR1662259333,CUR8110054933,2024-07-16T04:33:26Z,3295.37,Credit,Gym membership,9
177,CUR8110054933,CUR7772180882,2024-11-22T20:31:14Z,3257.39,Debit,Consulting fee,9
178,CUR1338258951,CUR8110054933,2025-05-03T22:30:16Z,2730.16,Credit,Phone bill,9
179,CUR8110054933,SAV6572436051,2024-09-10T17:35:00Z,369.5,Debit,Grocery payment,9
180,CUR8110054933,CUR9520940324,2023-11-20T16:00:19Z,3035.27,Debit,Rental income,9
181,CUR5972484792,CUR7805745017,2024-10-15T12:34:28Z,2577.33,Credit,Electricity bill,10
182,CUR7805745017,SAV8877444318,2024-10-15T08:48:05Z,708.68,Debit,Grocery payment,10
183,SAV4482141802,CUR7805745017,2024-08-17T13:59:11Z,4068.32,Credit,Tax payment,10
184,SAV3880327491,CUR7805745017,2024-10-02T06:54:41Z,2336.74,Credit,Deposit,10
185,CUR7805745017,SAV2461042543,2025-10-15T00:50:37Z,4833.6,Debit,Subscription renewal,10
186,CUR7805745017,CUR9462806178,2024-12-23T01:46:17Z,3364.24,Debit,Deposit,10
187,CUR7805745017,BUS7026930365,2023-01-17T03:54:49Z,230.99,Debit,Grocery payment,10
188,SAV3880327491,CUR7805745017,2024-02-03T13:11:56Z,2254.52,Credit,Payroll,10
189,SAV4131356954,CUR7805745017,2024-07-26T22:41:29Z,1972.55,Credit,Freelance project,10
190,CUR1172893522,CUR7805745017,2024-11-25T20:18:36Z,199.38,Credit,Medical bill,10
191,SAV3880327491,CUR7805745017,2024-11-13T17:14:54Z,703.21,Credit,Service charge,10
192,CUR7805745017,SAV7844995269,2024-10-14T05:54:59Z,2539.04,Debit,Cheque deposit,10
193,CUR7805745017,SAV3702653209,2025-09-30T20:29:43Z,2986.56,Debit,ATM withdrawal,10
194,CUR1338258951,CUR7805745017,2024-04-11T01:52:11Z,3607.31,Credit,Consulting fee,10
195,SAV7517938612,CUR7805745017,2025-02-17T05:22:49Z,4741.28,Credit,Electricity bill,10
196,CUR7805745017,SAV1420514789,2024-01-26T00:41:22Z,3454.05,Debit,Transfer to savings,10
197,BUS4124168227,CUR7805745017,2025-10-24T22:15:47Z,3530.35,Credit,Cheque deposit,10
198,CUR7805745017,BUS6913417379,2024-02-29T20:25:16Z,4783.64,Debit,Interest credit,10
199,CUR7805745017,BUS3079537716,2024-12-02T19:53:21Z,4786.9,Debit,ATM withdrawal,10
200,SAV4027526473,CUR7805745017,2024-09-03T08:11:13Z,3452.75,Credit,Merchant payment,10
201,SAV4698408854,BUS6469458472,2024-10-11T17:28:08Z,613.76,Debit,Internet bill,11
202,CUR2247484671,SAV4698408854,2025-02-16T14:21:52Z,1441.71,Credit,Medical bill,11
203,BUS3057629778,SAV4698408854,2023-06-11T12:36:38Z,1014.33,Credit,Payroll,11
204,CUR1667779376,SAV4698408854,2024-07-09T20:27:44Z,3705.75,Credit,Online purchase,11
205,CUR1338258951,SAV4698408854,2024-05-11T01:50:53Z,1168.02,Credit,Electricity bill,11
206,CUR8616379926,SAV4698408854,2025-04-26T12:01:32Z,691.65,Credit,Payroll,11
207,SAV9434946584,SAV4698408854,2023-11-20T14:48:54Z,1609.23,Credit,Phone bill,11
208,CUR1252860896,SAV4698408854,2023-05-02T03:15:25Z,3616.97,Credit,Grocery payment,11
209,SAV3409076656,SAV4698408854,2023-12-25T15:12:53Z,4985.87,Credit,Insurance premium,11
210,SAV4765583254,SAV4698408854,2025-10-11T06:47:00Z,51.29,Credit,Tax payment,11
211,SAV4698408854,BUS7546898241,2023-08-08T12:11:54Z,4446.85,Debit,Water bill,11
212,SAV4698408854,SAV1799718923,2025-10-29T17:02:24Z,3684.41,Debit,Freelance project,11
213,CUR1667779376,SAV4698408854,2024-08-27T20:40:20Z,4281.45,Credit,Insurance premium,11
214,SAV4698408854,SAV4131356954,2025-05-25T18:45:38Z,927.98,Debit,Water bill,11
215,SAV3181106786,SAV4698408854,2025-09-04T11:46:55Z,1181.43,Credit,Consulting fee,11
216,SAV4698408854,CUR2014911848,2024-06-30T12:00:04Z,3340.59,Debit,Interest credit,11
217,SAV4698408854,SAV4993808565,2024-09-20T05:48:54Z,3850.36,Debit,Medical bill,11
218,CUR1667779376,SAV4698408854,2023-08-29T23:15:17Z,1108.14,Credit,Water bill,11
219,SAV4698408854,SAV9941564880,2025-09-06T05:34:38Z,2236.51,Debit,Medical bill,11
220,SAV7049001493,SAV4698408854,2025-01-10T02:50:37Z,4514.93,Credit,Subscription renewal,11
221,BUS7567496105,SAV6520103410,2023-11-03T05:59:26Z,3403.07,Debit,Medical bill,12
222,CUR7380780055,BUS7567496105,2025-09-28T03:18:39Z,2269.89,Credit,Cheque deposit,12
223,SAV7676965974,BUS7567496105,2025-04-30T16:37:53Z,4035.54,Credit,Gym membership,12
224,BUS7567496105,CUR9841118422,2023-02-14T14:24:57Z,2893.66,Debit,Grocery payment,12
225,CUR7380780055,BUS7567496105,2025-05-17T12:32:38Z,4673.24,Credit,Restaurant,12
226,BUS7567496105,CUR1547374338,2025-08-24T01:09:19Z,3830.31,Debit,Gym membership,12
227,SAV3181106786,BUS7567496105,2025-05-10T13:38:01Z,1881.35,Credit,Internet bill,12
228,CUR1429416213,BUS7567496105,2023-09-30T23:47:40Z,1968.33,Credit,Water bill,12
229,SAV7633342225,BUS7567496105,2024-04-01T00:07:35Z,2662.01,Credit,Bonus payment,12
230,BUS7567496105,CUR8110054933,2024-04-15T09:00:41Z,4687.36,Debit,Gym membership,12
231,CUR8616379926,BUS7567496105,2023-08-20T01:10:22Z,4681.51,Credit,Salary,12
232,BUS7567496105,CUR7805745017,2024-05-07T07:30:11Z,2990.94,Debit,Medical bill,12
233,CUR3553440342,BUS7567496105,2023-04-10T08:54:37Z,2701.1,Credit,Consulting fee,12
234,SAV7418301077,BUS7567496105,2023-04-26T05:06:07Z,2882.67,Credit,Tax payment,12
235,BUS7567496105,CUR2472659626,2024-10-18T08:37:31Z,2608.65,Debit,Transfer to savings,12
236,BUS7567496105,BUS4915196257,2024-09-07T10:01:04Z,3131.84,Debit,Transfer to savings,12
237,BUS7547518979,BUS7567496105,2025-10-12T01:42:25Z,3483.06,Credit,Transfer to savings,12
238,BUS7567496105,SAV6262814762,2023-11-02T10:55:06Z,4288.42,Debit,Water bill,12
239,BUS3276297510,BUS7567496105,2025-08-06T02:05:52Z,1945.15,Credit,ATM withdrawal,12
240,SAV9987064419,BUS7567496105,2024-02-21T12:01:28Z,3624.3,Credit,Subscription renewal,12
241,SAV2461042543,CUR4752171298,2023-04-16T09:46:27Z,944.88,Debit,Consulting fee,13
242,SAV2461042543,SAV1065857791,2024-03-20T17:27:15Z,4686.11,Debit,Gym membership,13
243,BUS6173344564,SAV2461042543,2023-08-29T17:26:13Z,4576.06,Credit,Payroll,13
244,SAV2461042543,CUR2188332531,2024-10-20T10:18:21Z,1545.57,Debit,Refund,13
245,SAV2461042543,SAV6167393219,2025-10-15T16:58:00Z,1568.05,Debit,Grocery payment,13
246,SAV2461042543,SAV7271954644,2024-03-29T05:18:46Z,2897.82,Debit,Transfer to savings,13
247,SAV2461042543,SAV7517938612,2024-08-27T05:32:56Z,4167.65,Debit,Merchant payment,13
248,SAV7418301077,SAV2461042543,2024-11-22T09:22:08Z,3210.26,Credit,Merchant payment,13
249,CUR1547374338,SAV2461042543,2025-08-01T06:07:30Z,3602.97,Credit,Merchant payment,13
250,BUS4636537575,SAV2461042543,2024-01-12T19:44:18Z,4726.21,Credit,Internet bill,13
251,SAV2461042543,CUR9881854670,2023-04-10T00:13:56Z,759.39,Debit,Subscription renewal,13
252,SAV2461042543,BUS9215204939,2025-11-01T16:36:10Z,3298.13,Debit,Salary,13
253,SAV8429141456,SAV2461042543,2023-01-14T19:22:38Z,3612.35,Credit,Payroll,13
254,SAV4907446848,SAV2461042543,2024-08-10T00:37:26Z,539.55,Credit,Electricity bill,13
255,SAV2461042543,CUR2188332531,2023-11-01T08:46:24Z,1340.29,Debit,Insurance premium,13
256,SAV8877444318,SAV2461042543,2023-06-11T13:34:56Z,4951.21,Credit,Online purchase,13
257,CUR5696548897,SAV2461042543,2024-09-06T02:56:06Z,1899.42,Credit,Payroll,13
258,CUR8663837890,SAV2461042543,2025-09-01T02:02:35Z,2831.45,Credit,Stock sale proceeds,13
259,CUR3030106617,SAV2461042543,2023-07-15T19:13:46Z,4438.33,Credit,Merchant payment,13
260,SAV1141312095,SAV2461042543,2024-07-09T01:41:42Z,4644.19,Credit,Rental income,13
261,BUS8820716211,SAV7980611182,2023-02-02T07:32:32Z,4644.73,Credit,Deposit,14
262,SAV7980611182,SAV7616665277,2023-11-29T20:31:59Z,1922.31,Debit,Gym membership,14
263,CUR5714524551,SAV7980611182,2023-10-14T02:51:19Z,1164.56,Credit,Restaurant,14
264,SAV2401777036,SAV7980611182,2024-11-28T22:02:00Z,3172.44,Credit,Freelance project,14
265,SAV7980611182,SAV3181106786,2025-07-11T17:51:44Z,2162.08,Debit,Internet bill,14
266,SAV8877444318,SAV7980611182,2025-02-17T03:07:12Z,3566.98,Credit,Restaurant,14
267,SAV7980611182,CUR8471762590,2024-07-02T05:36:54Z,1586.81,Debit,Electricity bill,14
268,CUR5791662169,SAV7980611182,2023-07-07T00:11:20Z,1352.48,Credit,Water bill,14
269,SAV7980611182,SAV3880327491,2023-06-28T06:49:21Z,2043.18,Debit,Salary,14
270,CUR7192423780,SAV7980611182,2023-07-03T12:53:08Z,4319.27,Credit,Salary,14
271,SAV7980611182,SAV7049001493,2024-08-20T15:03:58Z,4526.51,Debit,Online purchase,14
272,SAV7980611182,BUS4944899549,2023-12-14T13:51:43Z,2468.15,Debit,Restaurant,14
273,SAV7980611182,SAV6320115677,2023-12-09T15:49:33Z,1808.82,Debit,Online purchase,14
274,CUR1547374338,SAV7980611182,2025-10-12T21:37:11Z,1526.77,Credit,Insurance premium,14
275,SAV7980611182,SAV6732648420,2024-11-11T22:34:49Z,4078.3,Debit,Stock sale proceeds,14
276,SAV7980611182,CUR7352298473,2023-10-06T10:56:18Z,892.3,Debit,Insurance premium,14
277,BUS4358554365,SAV7980611182,2024-10-15T10:36:40Z,1632.8,Credit,ATM withdrawal,14
